Y	tau	Z	SW	alpha
-791790.544696	-180879.866541	-3507.38064598	-23356.0134268	-330.000766409
-791793.197901	-180879.866541	-3508.91898258	-23354.2366655	-330.000766409
-791795.468609	-180879.866541	-3510.45667562	-23352.7772122	-330.000766409
-791797.948649	-180879.866541	-3511.99238059	-23351.3678429	-330.000766409
-791800.53146	-180879.866541	-3513.51876491	-23349.7080266	-330.000766409
-791803.096311	-180879.866541	-3515.0319302	-23347.8688029	-330.000766409
-791805.514931	-180879.866541	-3516.53251242	-23345.9064392	-330.000766409
-791807.469628	-180879.866541	-3518.02977971	-23344.2055818	-330.000766409
-791809.674279	-180879.866541	-3519.51195358	-23342.5566151	-330.000766409
-791812.203305	-180879.866541	-3520.96020114	-23340.3740357	-330.000766409
-791814.422078	-180879.866541	-3522.37497696	-23338.0384585	-330.000766409
-791815.859999	-180879.866541	-3523.80974795	-23336.4639061	-330.000766409
-791817.353854	-180879.866541	-3525.30574235	-23335.5502213	-330.000766409
-791819.393291	-180879.866541	-3526.84256181	-23334.3467089	-330.000766409
-791821.544534	-180879.866541	-3528.39022159	-23332.7880171	-330.000766409
-791823.664967	-180879.866541	-3529.93865054	-23331.0058598	-330.000766409
-791825.40843	-180879.866541	-3531.49645242	-23329.2633708	-330.000766409
-791826.943667	-180879.866541	-3533.0704727	-23327.8841373	-330.000766409
-791828.665907	-180879.866541	-3534.66420353	-23326.3829075	-330.000766409
-791830.284225	-180879.866541	-3536.28828483	-23324.9925749	-330.000766409
-791831.52201	-180879.866541	-3537.91657838	-23323.8775434	-330.000766409
-791832.627357	-180879.866541	-3539.49705	-23322.8026889	-330.000766409
-791834.302262	-180879.866541	-3541.06303679	-23321.3592557	-330.000766409
-791836.003029	-180879.866541	-3542.63186196	-23319.7345899	-330.000766409
-791837.018313	-180879.866541	-3544.19206529	-23318.3947459	-330.000766409
-791837.894726	-180879.866541	-3545.76358691	-23317.3574059	-330.000766409
-791839.513627	-180879.866541	-3547.35309321	-23315.8945167	-330.000766409
-791841.550085	-180879.866541	-3548.96378713	-23313.7462527	-330.000766409
-791843.48027	-180879.866541	-3550.65063986	-23311.3532565	-330.000766409
-791843.59162	-180879.866541	-3552.32342542	-23310.2872141	-330.000766409
-791843.885506	-180879.866541	-3553.89506864	-23309.8166961	-330.000766409
-791844.970062	-180879.866541	-3555.47387231	-23308.9225618	-330.000766409
-791846.157953	-180879.866541	-3557.05436424	-23308.0986955	-330.000766409
-791847.279092	-180879.866541	-3558.63854185	-23307.2439469	-330.000766409
-791848.049509	-180879.866541	-3560.23333567	-23306.7964817	-330.000766409
-791849.097361	-180879.866541	-3561.82842164	-23306.3847613	-330.000766409
-791850.236528	-180879.866541	-3563.41828804	-23305.8106239	-330.000766409
-791851.353548	-180879.866541	-3565.00252689	-23305.2010072	-330.000766409
